NODE_ID,NODE_NAME,latitude,longitude
1500000100,수성교,35.8617329941921,128.6084450139247
1500000200,수성교남단교차로,35.861892993242414,128.60820701355163
1500000303,신남네거리,35.864666353542816,128.58163990370167
1500000400,삼덕네거리,35.86324199382722,128.6026260132258
1500000500,봉산육거리,35.86389599409578,128.59945901289174
1500000501,봉산동127-1,35.864592516927026,128.59816944655364
1500000600,신남네거리,35.864878993804126,128.5823380131675
1500000700,반월당네거리,35.86548299381737,128.59334601355002
1500000800,계산오거리,35.8664399937261,128.5875950127613
1500001403,남산동106-1,35.861844559367725,128.58252314501058
1500001404,남산동2445-5,35.860477611503704,128.58259876553447
1500002101,남산동689-3,35.86059927540281,128.59457136342337
1500002200,대봉치안센터,35.860491993809525,128.60073001308675
1500002201,봉산동678-1,35.861218210807365,128.6004588373596
1500002300,에르모사노비아,35.86089699374885,128.6038420136312
1500002301,대봉1동행정복지센터,35.86158209275697,128.6034867364727
1500002400,남문시장,35.8612119934721,128.59271001291526
1500002401,남산동673-2,35.862118524544435,128.59298070779874
1500002402,남산동673-2,35.863023828073544,128.59324829822094
1500002403,반월당역(대구1호선),35.86379604682245,128.59327897368945
1500002500,한국외식업중앙회대구중구지부,35.86202599302336,128.5903960128872
1500002600,수성교지하차도,35.86363599366274,128.60991801277922
1500002700,청라언덕역5번출구,35.86365499344001,128.58242301269064
1500002800,삼덕빌라,35.86448199443888,128.6109390136024
1500002801,삼덕동3가379,35.8646381952725,128.61026734307782
1500002900,굿브랜딩북스,35.86513199330517,128.60814401352502
1500003100,신천교지하차도,35.86570699406897,128.6121540139365
1500003101,동인동4가557,35.8659944991608,128.61084755696854
1500003200,대한천리교영남교회,35.8664509936364,128.6085510127138
1500003300,쥬씨대구경북대병원점,35.866918993632616,128.60621901395285
1500003400,중앙파출소앞교차로,35.867188993632965,128.5935640131754
1500003500,한국은행대구경북본부지점,35.867406993872564,128.60375101344982
1500003600,계산오거리,35.86769199396725,128.58698201365632
1500003700,구구커피,35.86827399363563,128.5998380131968
1500003701,성내1동주민센터,35.868615550795816,128.59812807322987
1500003800,동신교,35.868278993859526,128.61361401299925
1500003900,동신교,35.86829599405086,128.61341001272524
1500003901,동인동4가557,35.86844162574929,128.61190314507115
1500004100,서문시장역4번출구,35.86872099335626,128.58228701254214
1500004200,동역교회,35.868760993531325,128.60875201385414
1500004300,이디야커피대구중구청점,35.868957993864804,128.6064810130697
1500004400,종각네거리,35.86922599331912,128.60407301364427
1500004500,웨스트일일공,35.869606993728674,128.5872280134243
1500004600,공평네거리,35.87002199448617,128.60033301398502
1500004601,노보텔앰배서더대구,35.87038103969591,128.59860091300388
1500004700,서성네거리,35.870059993811715,128.58728601335193
1500004800,제일교회,35.870139994510346,128.60640801348117
1500004900,큰장네거리,35.87041799375494,128.57947601324568
1500005000,한길교회,35.87049599382807,128.58513501238644
1500005100,동인치안센터,35.87058799423426,128.60427501257794
1500005200,동산네거리,35.87059399368751,128.5822470136146
1500005300,한국섬유기술연구소,35.87068499362211,128.5842230130789
1500005400,중앙네거리,35.87098799339448,128.59406601324227
1500005500,정혜선사,35.87106899362067,128.58738401311092
1500005600,시청네거리,35.87135299356089,128.60071301382067
1500005700,중앙로역3번출구,35.872056993619644,128.59424201321144
1500005800,삼성전자,35.87253299393096,128.60626901359987
1500005900,동인네거리,35.87254199288547,128.60449401328555
1500006000,동도교회,35.87300799426161,128.60869401331658
1500006100,달성공원앞교차로,35.87343699396691,128.5821720126246
1500006200,신천교네거리,35.87352199312812,128.61095001346138
1500006300,신천교네거리,35.87356799346795,128.6111500134005
1500006400,대한민국월남참전자회대구중구지,35.87370699385572,128.58009101280462
1500006500,교동네거리,35.873791993779285,128.60140801273212
1500006501,대성시장교차로,35.8756162161816,128.60138669708653
1500006600,대구은행북성로지점,35.873861994261404,128.58766301369218
1500006601,수창동104,35.875095572490984,128.58780462825663
1500006700,NH농협은행북성로지점,35.874543993547945,128.59479101330476
1500006800,대구역앞교차로,35.875061993444895,128.59490801336577
1500006801,태평로2가1-2,35.87567676396432,128.59186089486855
1500006900,태평네거리,35.87642699338875,128.5881400128373
1500006901,태평로3가247,35.87690809878642,128.58551300346417
1500007000,대구예루살렘교회,35.876480994359696,128.57824201335478
1500007100,달성네거리,35.87762699426488,128.58158701317925
1500007400,수성연합병원,35.86251445777098,128.60602890067008
1500007401,삼덕동3가379,35.86496077380745,128.60682797303866
1500007500,대구카톨릭대학교입구,35.86272812290285,128.5885801542413
1500007600,대구학원,35.864974670770664,128.59608892108406
1500007601,봉산동35-18,35.8660734228355,128.5957107783946
1500007700,삼덕빌라,35.86541777298106,128.60697202575784
1500007800,동아진열장,35.86569912346863,128.59212637711047
1500007801,남산동303,35.866236085689096,128.58917297461707
1500007802,남산동303,35.86613680900222,128.58972267881543
1500007900,동인초등교입구,35.866093591917135,128.6103300556682
1500008000,동화빌딩앞,35.86639668435145,128.59513217468992
1500008100,영남교회,35.866676715079485,128.6074112394737
1500008200,동아백화점입구,35.86721362518214,128.5921049849581
1500008201,성내2동주민센터,35.86772118135391,128.5902382194325
1500008300,동인4가파출소,35.86851288970543,128.6110967273752
