LINK_ID,F_NODE,T_NODE,MAX_SPD,LENGTH
1500018600,1500005300,1500005200,50,178.784239649328
1500018700,1500005200,1500006100,50,314.22965566392
1500018800,1500006100,1500005200,50,318.470261224749
1500019100,1500005400,1500005700,30,120.363404993065
1500019200,1500005700,1500005400,30,120.36342111916
1500019700,1500005600,1500005700,30,606.123624335213
1500019800,1500005700,1500005600,30,601.735074999406
1500019900,1500005600,1500006500,50,277.87779593098
1500020000,1500006500,1500005600,50,277.877740148992
1500020300,1500005800,1500005900,50,160.342228058729
1500020400,1500005900,1500005800,50,160.342427028841
1500020500,1500005800,1500006000,50,225.308872526673
1500020600,1500006000,1500005800,50,225.308678874536
1500020700,1500005900,1500006500,50,318.038271138736
1500020800,1500006500,1500005900,50,315.374609510574
1500020900,1500005900,1540008000,50,214.696612008679
1500021000,1540008000,1500005900,50,221.107867745541
1500021100,1500006000,1500006200,50,211.621508664862
1500021200,1500006200,1500006000,50,211.621096761076
1500021300,1500006100,1500006400,30,190.835275909778
1500021400,1500006400,1500006100,30,190.835472888266
1500021900,1500006200,1500006300,60,18.773674691944
1500022000,1500006300,1500006200,60,18.77367469248
1500022300,1500006300,1510008900,50,90.849340159148
1500022400,1510008900,1500006300,60,90.849273546656
1500022500,1500006400,1500007000,30,373.539302894085
1500022600,1500007000,1500006400,30,360.782446762212
1500022700,1500006500,1500006800,50,603.823527883155
1500022800,1500006800,1500006500,50,603.824232875395
1500022901,1500006500,1500006501,60,202.411483188361
1500023002,1500006501,1500006500,40,202.530518381653
1500023301,1500006600,1500006601,50,137.281834838633
1500023302,1500006601,1500006900,60,150.456009505984
1500023401,1500006900,1500006601,60,151.708648850412
1500023402,1500006601,1500006600,50,137.836746713213
1500023500,1500006700,1500006800,30,58.453974511257
1500023600,1500006800,1500006700,30,58.454073087503
1500023900,1500006800,1540008700,50,299.136613374273
1500024000,1540008700,1500006800,50,302.712470649007
1500024101,1500006900,1500006901,60,242.751960008385
1500024102,1500006901,1500007100,50,363.953685572679
1500024201,1500007100,1500006901,60,363.017967896054
1500024202,1500006901,1500006900,50,243.688501650194
1500025500,1500008800,1500005500,30,134.295336174467
1500025600,1500008800,1500005300,30,151.990458842195
1500025700,1500005300,1500008800,30,155.070589894024
1500025800,1500005500,1500008800,30,136.653942244931
1500026500,1500000400,1500007400,70,318.266728548171
1500026600,1500007400,1500000200,70,208.220249917835
1500026700,1500000200,1500007400,70,214.596754689095
1500026800,1500007400,1500000400,70,317.249467444899
1500026900,1500003300,1500007700,50,256.95955505206
1500027200,1500007700,1500003300,50,235.014393293843
1500027300,1500003300,1500008100,50,111.657197443837
1500027400,1500008100,1500003200,50,105.321256169022
1500027500,1500003200,1500008100,50,105.321061215175
1500027600,1500008100,1500003300,50,111.657197443837
1500027700,1500003200,1500007900,50,165.061178434399
1500027801,1500007900,1500003101,10,47.931510432106
1500027802,1500003101,1500003100,10,122.893746494899
1500027901,1500003100,1500003101,10,121.631163045425
1500027902,1500003101,1500007900,10,47.619576674632
1500028000,1500007900,1500003200,50,166.567297102329
1500028100,1500004200,1500008300,50,213.461012073978
1500028201,1500008300,1500003901,60,73.067006749224
1500028202,1500003901,1500003900,50,137.416714348574
1500028500,1500002500,1500007500,30,183.628068685787
1500028600,1500007500,1500002500,30,182.972985716157
1500028901,1500007400,1500007401,10,281.090665829784
1500028902,1500007401,1500007700,10,51.576607625347
1500029001,1500007700,1500007401,10,52.366209069132
1500029002,1500007401,1500007400,10,280.171170462099
1500029100,1500007700,1500008100,30,145.105763336446
1500029200,1500008100,1500007700,30,146.161267975535
1500029300,1500008500,1500004800,10,214.308803466737
1500029400,1500004800,1500008500,10,213.717367769011
1500029500,1500007900,1500008300,10,279.732734444849
1500029600,1500008300,1500008500,10,326.382900706702
1500029700,1500008500,1500008300,10,314.581726267015
1500029800,1500008300,1500007900,10,279.156183855665
1500029901,1500003900,1500003901,50,136.742633046708
1500029902,1500003901,1500008300,60,73.530948690972
1500030000,1500008300,1500004200,50,213.670187732974
1500030100,1500004200,1500008500,10,96.661520715772
1500030200,1500008500,1500006000,10,375.438672234701
1500030300,1500006000,1500008500,10,372.752354985833
1500030400,1500008500,1500004200,10,98.643484890748
1500030500,1500008700,1500008400,40,198.417284933513
1500030600,1500008400,1500008700,40,200.110002947922
1500030700,1500007100,1500009600,40,157.269154408309
1500030800,1500006100,1500009600,40,312.023158947858
1500030900,1500009600,1500006100,40,309.998537968893
1500031000,1500009600,1500007100,40,166.908797042427
1500031100,1500008800,1500009300,30,389.106675886538
1500031201,1500009300,1500009301,10,293.643922840752
1500031202,1500009301,1500009600,10,62.238356671884
1500031301,1500009600,1500009301,10,53.992842964345
1500031302,1500009301,1500009300,10,293.434956195522
1500031400,1500009300,1500008800,30,390.852569915125
1500031500,1500009300,1500006600,30,385.215978782353
1500031600,1500009300,1500006100,30,111.818595614904
1500031700,1500006100,1500009300,30,114.242084657112
1500031800,1500006600,1500009300,30,385.876769661298
1500031900,1500005500,1500009000,50,144.563421303593
1500032000,1500006600,1500009000,50,169.503926024148
1500032100,1500009000,1500006600,50,166.582665499023
1500032200,1500009000,1500005500,50,141.644324681896
1500032301,1500009500,1500006801,50,69.163838794677
1500032302,1500006801,1500006800,60,284.093242960471
1500032400,1500009500,1500006900,50,274.614041011679
1500032500,1500006900,1500009500,50,276.485988490401
1500032601,1500006800,1500006801,60,283.046403642053
1500032602,1500006801,1500009500,50,72.169356352516
1500032700,1500009400,1500009500,30,187.292831355576
1500032800,1500009500,1500009400,30,190.480509530661
1500032900,1500009400,1500006700,30,353.094734834843
1500033000,1500009400,1500006600,30,296.145126998568
1500033100,1500006600,1500009400,30,295.337303568106
1500033200,1500006700,1500009400,30,351.537045743474
1500033300,1500009000,1500009100,30,317.296909168995
1500033401,1500009100,1500009101,10,178.518137953596
1500033402,1500009101,1500009200,10,143.162008587254
1500033501,1500009200,1500009101,30,144.515993127603
1500033502,1500009101,1500009100,10,177.801933671299
1500033600,1500009100,1500009000,30,315.572851652498
1500033700,1500009100,1500009400,30,144.969738678258
1500033800,1500009400,1500009100,30,144.728423936243
1500033900,1500008900,1500009100,30,144.41016170454
1500034000,1500009100,1500008900,30,144.550412535579
1500034100,1500008900,1500005500,20,325.033203291158
1500034201,1500008900,1500008901,30,191.171550151567
1500034202,1500008901,1500005700,30,113.017474098154
1500034301,1500005700,1500008901,30,113.598287609903
1500034302,1500008901,1500008900,30,190.061644470142
1500034400,1500005500,1500008900,20,325.324102879506
1500034500,1500008600,1500008900,30,103.348192879086
1500034600,1500008900,1500008600,30,103.389324996772
1500034700,1500005400,1500008600,50,274.70405526838
1500034800,1500004700,1500008600,50,349.979570339044
1500034900,1500008600,1500004700,50,345.953066405141
1500035000,1500008600,1500005400,50,271.526369263654
1500035100,1500007800,1500008200,30,168.434235774953
1500035200,1500008200,1500008600,30,390.299804803256
1500035300,1500008600,1500008200,30,387.75881007707
1500035400,1500008200,1500007800,30,167.968251333773
1500035501,1500008200,1500008201,30,176.874766028744
1500035502,1500008201,1500004500,30,346.396674960532
1500035600,1500008200,1500003400,30,130.109760637186
1500035700,1500003400,1500008200,30,132.759411389994
1500035801,1500004500,1500008201,30,347.272611218153
1500035802,1500008201,1500008200,30,181.873121755172
1500035901,1500000800,1500007801,70,142.769544775957
1500035903,1500007801,1500007802,70,50.868588544241
1500035904,1500007802,1500007800,70,223.114591084202
1500036000,1500000700,1500007800,70,111.41262297102
1500036100,1500007800,1500000700,70,112.021629059135
1500036202,1500007801,1500000800,70,147.534775452009
1500036203,1500007800,1500007802,70,222.09667473524
1500036204,1500007802,1500007801,70,50.865950202845
1500036300,1500003400,1500008000,30,165.084036340035
1500036401,1500008000,1500007601,30,62.9141502463
1500036402,1500007601,1500007600,30,123.915156888919
1500036501,1500007600,1500007601,30,129.909978000556
1500036502,1500007601,1500008000,30,65.67624136159
1500036600,1500008000,1500003400,30,167.474326737862
1500036701,1500000500,1500000501,70,140.863403421553
1500036702,1500000501,1500007600,70,194.901989449662
1500036800,1500000700,1500007600,70,255.94149332992
1500036900,1500007600,1500000700,70,253.709540284275
1500037001,1500007600,1500000501,70,190.986073434061
1500037002,1500000501,1500000500,70,140.619251551766
1500037100,1500005700,1500009200,30,136.540964983352
1500037200,1500006700,1500009200,30,147.031292784562
1500037300,1500009200,1500006700,30,143.858476644346
1500037400,1500009200,1500005700,30,134.025813010873
1500037501,1500008700,1500004601,60,124.589241095222
1500037502,1500004601,1500004600,50,161.862411138096
1500037600,1500008700,1500005400,50,290.529376510288
1500037700,1500005400,1500008700,50,290.077079868943
1500037801,1500004600,1500004601,50,161.116383520554
1500037802,1500004601,1500008700,60,125.799839234888
1500037900,1500008000,1500008400,30,425.165732423693
1500038001,1500008400,1500003701,30,112.868752796747
1500038002,1500003701,1500003700,30,159.433937587271
1500038101,1500003700,1500003701,30,158.7989769059
1500038102,1500003701,1500008400,30,112.617867501435
1500038200,1500008400,1500008000,30,438.103403954356
1500038900,1500010100,1500001403,50,109.799017472404
1500039000,1500001403,1500010100,50,109.297465940483
1500039100,1500010200,1500001404,40,76.441263465865
1500039200,1500001404,1500010200,40,76.441362179625
1500039300,1500010700,1500002403,50,211.569310875151
1500039400,1500002403,1500010700,50,236.932640721847
1500039500,1500010700,1500002402,50,142.115034983936
1500039600,1500002402,1500010700,50,141.92680510605
1500039700,1500010800,1500006601,30,249.104714089373
1500039800,1500006601,1500010800,30,249.404211120335
1500039900,1500010900,1500006801,50,87.243030655251
1500040000,1500006801,1500010900,50,87.906426892561
1500040100,1500011000,1500004601,50,200.225225684652
1500040200,1500004601,1500011000,50,227.159728153968
1500040300,1500011000,1500008700,50,78.834922732872
1500040400,1500008700,1500011000,50,81.072900235232
1500040500,1500011100,1500003901,40,130.928722459036
1500040600,1500003901,1500011100,40,131.207219605431
1500040700,1500010800,1500006901,30,146.690962079643
1500040800,1500006901,1500010800,30,146.690962077828
1500040900,1500010600,1500007801,50,92.538163099914
1500041000,1500007801,1500010600,50,92.538145638011
1500041300,1500002700,1500000303,50,241.111697778595
1500041400,1500000303,1500002700,50,286.440593452151
1500041500,1500002401,1500002101,40,314.370867625312
1500041600,1500002101,1500002401,40,341.344694286066
1500041700,1500010300,1500007500,30,191.933211233012
1500041800,1500007500,1500010300,30,193.587095475498
1500042300,1500010800,1500009301,30,231.337613338548
1500042400,1500009301,1500010800,30,231.337515480099
1500042500,1500008201,1500007802,60,184.050241054078
1500042600,1500007802,1500008201,60,181.362429702974
1500042700,1500007601,1500000501,30,276.467292669319
1500042800,1500000501,1500007601,30,279.265643319847
1500042900,1500009101,1500008901,40,136.134847332865
1500043000,1500008901,1500009101,40,135.857754944775
1500043100,1500004601,1500003701,40,200.546067560618
1500043200,1500003701,1500004601,40,200.543008120142
1500043300,1500002301,1500002201,50,277.036772335588
1500043400,1500002201,1500002301,50,276.089318540078
1500043700,1500007401,1500002900,50,169.420759749562
1500043800,1500002900,1500007401,50,145.716196946976
1500043900,1500003101,1500002801,30,159.508592260072
1500044000,1500002801,1500003101,30,159.291145369481
1500044100,1500003901,1500003101,30,287.735270333302
1500044200,1500003101,1500003901,30,287.99465749424
1500044300,1500003100,1500011200,80,1129.70519572119
1500044400,1500011200,1500003100,80,1108.92777945804
1500044500,1550016400,1510009400,60,933.136075299863
1500044600,1510009400,1550016400,60,920.62476640148
1500044700,1500006200,1500011200,50,175.610400403764
1500044800,1500011200,1500006200,50,181.724325628424
1500044901,1500011301,1500000500,50,345.974641608484
1500045001,1500000500,1500011301,50,342.278629153839
1500045101,1500011401,1500000400,50,283.737841874238
1500045201,1500000400,1500011401,50,275.69608422085
1500045301,1500003700,1500011301,50,146.025206405001
1500045401,1500011301,1500003700,50,145.70698750564
1500045501,1500011301,1500011601,60,330.400066140065
1500045601,1500011601,1500011301,60,330.682335827183
1500045701,1500011401,1500011501,30,54.662934412295
1500045801,1500011501,1500011401,30,54.994957386291
1500045901,1500011601,1500011401,50,60.364361123582
1500046001,1500011401,1500011601,50,59.627563200254
1500046101,1500003500,1500011601,50,133.07885465724
1500046201,1500011601,1500003500,50,133.897516328961
1500046501,1500000200,1500011701,80,61.436924738018
1500046601,1500011701,1500000200,80,54.163756836242
1500046701,1500011801,1500003900,60,514.222010998331
1500046801,1500003900,1500011801,60,531.622907246961
1500046901,1500006200,1500011801,60,94.29035780086
1500047001,1500011801,1500006200,60,112.554518381358
1510017100,1510006500,1510006700,50,287.479950149212
1510017200,1510006700,1510006500,50,287.480348009665
1510017900,1510006700,1550016400,60,128.889563536825
1510018000,1510006700,1510006900,60,49.301696892212
1510018100,1510006900,1510006700,50,49.301696893138
1510018600,1510006900,1510007000,60,18.255585422923
1510018700,1510007000,1510006900,60,18.255585422923
1510018800,1510006900,1510009100,30,665.588819631947
1510018900,1510009100,1510006900,50,664.207172725438
1510019000,1510007000,1500003800,50,84.73925683143
1510019100,1500003800,1510007000,50,84.739365155395
1510023202,1510008301,1510009300,50,143.237396777539
1510023301,1510009300,1510008301,50,141.22502993013
1510025000,1510008900,1510009100,60,47.980867024872
1510025100,1510009100,1510008900,60,47.980895904109
1510025600,1510009100,1510009200,60,90.731869935122
1510025700,1510009200,1510009100,60,82.881379931634
1510025802,1510009101,1510009300,60,149.694743951358
1510025804,1510009102,1510009101,50,112.950374133263
1510025901,1510009300,1510009101,60,150.095330713712
1510025903,1510009101,1510009102,50,110.234763151343
1510026000,1510009200,1510009400,60,105.100232552783
1510026100,1510009400,1510009200,60,105.100331396356
1510026201,1510009200,1510009201,60,213.387735154433
1510026202,1510009201,1510010400,60,345.121936631395
1510026301,1510010400,1510009201,60,342.661182507904
1510026302,1510009201,1510009200,60,217.613489753241
1510026800,1510009400,1540008600,60,565.58155651711
1510026900,1540008600,1510009400,60,567.430867056239
1510029200,1510010000,1510010400,50,24.433680546705
1510029300,1510010400,1510010000,50,24.433614967169
1510029800,1510010400,1540008600,60,105.197653398014
1510029900,1540008600,1510010400,60,105.197830233686
1510031201,1510010800,1510010803,30,196.176902622931
1510031302,1510010803,1510010800,30,194.769649944527
1510059401,1510009300,1510009302,50,76.753468001092
1510059402,1510009302,1510017100,50,158.820693633176
1510059500,1510010800,1510017100,50,95.552513994135
1510061700,1510017100,1510010800,50,98.568911400198
1510061801,1510017100,1510009302,50,159.944888327707
1510061802,1510009302,1510009300,50,78.618649732505
1510476700,1510168900,1510168600,50,198.466679470585
1510476800,1510168600,1510168900,50,203.545749902905
1510476900,1510169000,1510009102,50,190.87981844222
1510477000,1510009102,1510169000,50,182.35235231719
1510477100,1510169600,1510169200,30,154.389171721419
1510477200,1510169200,1510169600,30,154.389171721419
1510477300,1510169800,1510169700,50,96.757347948787
1510477400,1510169700,1510169800,50,102.736741960492
1510477500,1510170000,1510169900,50,139.456308110397
1510477600,1510169900,1510170000,50,139.402500196803
1510519700,1510168700,1510009101,50,272.68976803792
1510519800,1510009101,1510168700,50,277.177374382068
1510520100,1510168700,1510168600,50,246.155768205176
1510520200,1510168600,1510168700,50,250.03338276541
1510520300,1510168800,1510168700,50,137.96435034818
1510520400,1510168700,1510168800,50,136.824852684069
1510520500,1510168900,1510168800,50,106.734126949442
1510520600,1510168800,1510168900,50,106.131041331702
1510520700,1510169000,1510168800,50,201.916405414751
1510520800,1510168800,1510169000,50,204.583479206756
1510520900,1510169100,1510169000,10,53.876461050008
1510521000,1510169000,1510169100,10,59.830039369694
1510521300,1510169600,1510169300,50,25.766780486196
1510521400,1510169300,1510169600,50,25.766773311465
1510522100,1510169700,1510169300,30,211.781863147013
1510522200,1510169300,1510169700,30,208.430495588427
1510522700,1510169900,1510169700,50,161.994433932111
1510522800,1510169700,1510169900,50,148.441943371166
1510522900,1510169900,1510009201,50,70.653299638569
1510523000,1510009201,1510169900,50,70.527128707095
1510604301,1510009100,1510207501,60,144.398502903368
1510604401,1510207501,1510009100,60,145.4921920142
1510604501,1510207501,1510009102,60,53.231394416982
1510604601,1510009102,1510207501,60,53.56286111997
1510604701,1510207501,1510207601,50,186.192148121128
1510604801,1510207601,1510207501,50,195.078673852216
1510604901,1510207601,1510009101,50,159.539789778133
1510605001,1510009101,1510207601,50,161.712007699095
1510605101,1510207701,1510207601,30,44.170173228274
1510605201,1510207601,1510207701,30,42.651987893523
1540016900,1540008000,1540008100,50,200.258163645484
1540017000,1540008100,1540008000,50,200.258163645484
1540017100,1540008000,1540008300,40,244.731776800339
